data,rmse
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_7.mol2,4.432294732274695
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_2.mol2,4.425639974907584
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_11.mol2,3.5974694491406036
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_15.mol2,7.301247660930973
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_9.mol2,2.5069044345068283
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_13.mol2,6.03429529595213
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_14.mol2,6.162285138242144
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_19.mol2,5.818126037973911
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_6.mol2,5.699194411274282
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_16.mol2,7.20505786973637
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_1.mol2,4.635635821411126
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_4.mol2,5.589902976013985
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_8.mol2,6.026863469604235
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_3.mol2,1.1865415869239473
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_5.mol2,5.465474999371052
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_17.mol2,5.2139334419898375
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_18.mol2,7.863929975289073
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_10.mol2,7.63071192001441
/data2/yzd/docking/refined-set/4cjq/4cjq_docked_ligand_12.mol2,4.8092715274769
